store_name,date,type,floor,enter_number,enter_rate,female_number,female_rate,male_number,male_rate,teenager_number,teenager_rate,youth_number,youth_rate,middle-aged_number,middle-aged_rate,senior_number,senior_rate,has-long-hair_number,has-long-hair_rate,has-hat_number,has-hat_rate,has-glasses_number,has-glasses_rate,dropdown
AAPE,2021/2/1,fashions,L1,179,0.0460036,49 ,0.27476,130 ,0.72524,2 ,0.0127796,117 ,0.654952,50 ,0.277955,10 ,0.0543131,30 ,0.166134,10 ,0.0543131,6 ,0.0319489,enter_rate
AAPE,2021/2/2,fashions,L1,187,0.0447797,57 ,0.304734,130 ,0.695266,3 ,0.0177515,120 ,0.642012,53 ,0.281065,11 ,0.0591716,45 ,0.239645,11 ,0.0591716,7 ,0.035503,female_rate
AAPE,2021/2/3,fashions,L1,210,0.0498575,67 ,0.317935,143 ,0.682065,3 ,0.0163044,132 ,0.627717,63 ,0.30163,11 ,0.0543478,45 ,0.211957,13 ,0.0625,6 ,0.0298913,male_rate
AAPE,2021/2/4,fashions,L1,210,0.0474791,64 ,0.30663,146 ,0.69337,2 ,0.0110497,140 ,0.665746,56 ,0.267956,12 ,0.0552486,45 ,0.212707,20 ,0.0939227,7 ,0.0331492,teenager_rate
AAPE,2021/2/5,fashions,L1,255,0.0501179,78 ,0.306667,177 ,0.693333,3 ,0.0111111,172 ,0.673333,71 ,0.277778,10 ,0.0377778,51 ,0.2,25 ,0.0977778,6 ,0.0222222,youth_rate
AAPE,2021/2/6,fashions,L1,604,0.0500788,210 ,0.348231,394 ,0.651769,12 ,0.0195531,360 ,0.596834,187 ,0.310056,44 ,0.0735568,125 ,0.206704,35 ,0.0586592,16 ,0.0260708,middle-aged_rate
AAPE,2021/2/7,fashions,L1,353,0.0524829,132 ,0.375199,221 ,0.624801,7 ,0.0206677,213 ,0.604133,107 ,0.302067,26 ,0.0731319,81 ,0.230525,27 ,0.0779014,8 ,0.0238474,senior_rate
AAPE,2021/2/8,fashions,L1,325,0.0493921,114 ,0.34965,211 ,0.65035,4 ,0.0122378,206 ,0.634615,93 ,0.286713,22 ,0.0664336,79 ,0.243007,26 ,0.0804196,7 ,0.020979,has-long-hair_rate
AAPE,2021/2/9,fashions,L1,439,0.0558311,159 ,0.363057,280 ,0.636943,4 ,0.0101911,289 ,0.658599,117 ,0.267516,28 ,0.0636943,120 ,0.272611,30 ,0.0675159,12 ,0.0280255,has-hat_rate
AAPE,2021/2/10,fashions,L1,615,0.057066,230 ,0.374441,385 ,0.625559,14 ,0.0223414,383 ,0.622878,170 ,0.277033,48 ,0.077748,151 ,0.245755,43 ,0.0705988,16 ,0.025916,has-glasses_rate
AAPE,2021/2/11,fashions,L1,199,0.0526038,60 ,0.3,139 ,0.7,6 ,0.0314286,122 ,0.614286,59 ,0.297143,11 ,0.0571429,46 ,0.231429,11 ,0.0571429,6 ,0.0285714,
AAPE,2021/2/12,fashions,L1,616,0.0494541,184 ,0.299191,432 ,0.700809,9 ,0.0143756,379 ,0.614555,189 ,0.307278,39 ,0.0637916,122 ,0.198562,39 ,0.0628931,20 ,0.0332435,
AAPE,2021/2/13,fashions,L1,704,0.045108,257 ,0.364844,447 ,0.635156,10 ,0.0140625,430 ,0.610156,204 ,0.289844,61 ,0.0859375,162 ,0.230469,42 ,0.059375,26 ,0.0375,
AAPE,2021/2/14,fashions,L1,978,0.0464079,353 ,0.360767,625 ,0.639233,20 ,0.0202931,540 ,0.552424,338 ,0.346111,79 ,0.0811725,236 ,0.241263,50 ,0.0507328,22 ,0.0225479,
AAPE,2021/2/15,fashions,L1,680,0.0432185,242 ,0.356379,438 ,0.643621,12 ,0.018107,397 ,0.584362,225 ,0.330864,45 ,0.0666667,158 ,0.232099,42 ,0.0617284,21 ,0.0304527,
AAPE,2021/2/16,fashions,L1,457,0.0379978,160 ,0.349323,297 ,0.650677,7 ,0.0147601,270 ,0.591636,151 ,0.329643,29 ,0.0639606,96 ,0.210332,29 ,0.0639606,9 ,0.0196802,
AAPE,2021/2/17,fashions,L1,552,0.041629,189 ,0.341863,363 ,0.658137,10 ,0.0184237,324 ,0.587513,186 ,0.336745,32 ,0.0573183,133 ,0.241556,41 ,0.073695,14 ,0.0255885,
AAPE,2021/2/18,fashions,L1,263,0.0428269,87 ,0.332627,176 ,0.667373,8 ,0.0317797,158 ,0.601695,79 ,0.298729,18 ,0.0677966,57 ,0.21822,19 ,0.0720339,6 ,0.0211864,
AAPE,2021/2/19,fashions,L1,237,0.0418284,80 ,0.336471,157 ,0.663529,6 ,0.0235294,154 ,0.649412,60 ,0.254118,17 ,0.0729412,50 ,0.211765,21 ,0.0894118,7 ,0.0282353,
AAPE,2021/2/20,fashions,L1,283,0.0430222,95 ,0.334661,188 ,0.665339,3 ,0.00996016,186 ,0.657371,72 ,0.252988,23 ,0.0796813,68 ,0.239044,20 ,0.0717131,9 ,0.0318725,
AAPE,2021/2/21,fashions,L1,430,0.0432857,120 ,0.279841,310 ,0.720159,10 ,0.0238727,286 ,0.665783,105 ,0.244032,29 ,0.066313,89 ,0.206897,36 ,0.0835544,11 ,0.0251989,
AAPE,2021/2/22,fashions,L1,229,0.0493747,70 ,0.30402,159 ,0.69598,7 ,0.0326633,138 ,0.603015,67 ,0.291457,17 ,0.0728643,44 ,0.193467,14 ,0.0628141,5 ,0.0226131,
AAPE,2021/2/23,fashions,L1,198,0.0482574,61 ,0.305882,137 ,0.694118,2 ,0.0117647,125 ,0.632353,58 ,0.291176,13 ,0.0647059,39 ,0.197059,15 ,0.0764706,6 ,0.0323529,
AAPE,2021/2/24,fashions,L1,197,0.0406521,59 ,0.29912,138 ,0.70088,2 ,0.00879765,132 ,0.671554,49 ,0.246334,14 ,0.0733138,36 ,0.184751,20 ,0.102639,7 ,0.0351906,
AAPE,2021/2/25,fashions,L1,211,0.0422422,74 ,0.350785,137 ,0.649215,4 ,0.0183246,135 ,0.638744,57 ,0.272251,15 ,0.0706806,52 ,0.246073,14 ,0.0680628,6 ,0.0287958,
AAPE,2021/2/26,fashions,L1,187,0.0320755,66 ,0.352601,121 ,0.647399,2 ,0.0115607,116 ,0.621387,54 ,0.289017,15 ,0.0780347,46 ,0.245665,23 ,0.121387,4 ,0.0202312,
AAPE,2021/2/27,fashions,L1,461,0.0360353,150 ,0.325416,311 ,0.674584,7 ,0.0154394,302 ,0.655582,123 ,0.267221,28 ,0.0617577,101 ,0.218527,34 ,0.0748219,14 ,0.0308789,
AAPE,2021/2/28,fashions,L1,343,0.037622,119 ,0.346812,224 ,0.653188,7 ,0.0217729,221 ,0.645412,92 ,0.267496,22 ,0.0653188,81 ,0.236392,27 ,0.0777605,12 ,0.0342146,
Abrakadoodle,2021/2/28,kids_babies,L1,12,0.00151362,7 ,0.588235,5 ,0.411765,1 ,0.117647,6 ,0.470588,2 ,0.176471,3 ,0.235294,8 ,0.705882,0 ,0,0 ,0,
Adidas_Originals,2021/2/1,accessories,B1,766,0.0586569,355 ,0.463415,411 ,0.536585,14 ,0.0181185,385 ,0.503136,328 ,0.428571,38 ,0.0501742,208 ,0.271777,42 ,0.0550523,38 ,0.0494773,
Adidas_Originals,2021/2/2,accessories,B1,802,0.0543434,369 ,0.459904,433 ,0.540096,13 ,0.0157642,392 ,0.488691,353 ,0.440713,44 ,0.0548321,190 ,0.237149,42 ,0.0520905,34 ,0.0418095,
Adidas_Originals,2021/2/3,accessories,B1,767,0.057548,371 ,0.483199,396 ,0.516801,14 ,0.0181452,378 ,0.492608,328 ,0.428091,47 ,0.0611559,203 ,0.264113,54 ,0.0698925,28 ,0.0362903,
Adidas_Originals,2021/2/4,accessories,B1,944,0.0608404,452 ,0.478811,492 ,0.521189,21 ,0.0225647,433 ,0.458448,436 ,0.462301,54 ,0.0566868,240 ,0.254265,46 ,0.0484315,32 ,0.0341222,
Adidas_Originals,2021/2/5,accessories,B1,1106,0.0608495,530 ,0.479471,576 ,0.520529,23 ,0.0207645,521 ,0.471449,494 ,0.446437,68 ,0.0613497,257 ,0.232657,56 ,0.0504955,50 ,0.0453044,
Adidas_Originals,2021/2/6,accessories,B1,2094,0.0541519,963 ,0.459691,1131 ,0.540309,41 ,0.019358,926 ,0.442294,970 ,0.463367,157 ,0.0749816,373 ,0.178143,77 ,0.0370007,76 ,0.0362656,
