store_name,date,type,floor,enter_number,enter_rate,female_number,female_rate,male_number,male_rate,teenager_number,teenager_rate,youth_number,youth_rate,middle-aged_number,middle-aged_rate,senior_number,senior_rate,dropdown
AdidasOriginals,2021-02-01,accessories,B1,766,6,355,46,411,54,14,2,179,50,329 ,43,9,5,enter_rate
AdidasOriginals,2021-02-02,accessories,B1,802,5,369,46,433,54,13,2,180,49,353 ,44,10,5,female_rate
AdidasOriginals,2021-02-03,accessories,B1,767,6,371,48,396,52,14,2,183,49,330 ,43,11,6,male_rate
AdidasOriginals,2021-02-04,accessories,B1,944,6,452,48,492,52,21,2,207,46,434 ,46,12,6,teenager_rate
AdidasOriginals,2021-02-05,accessories,B1,1106,6,530,48,576,52,23,2,250,47,498 ,45,15,6,youth_rate
AdidasOriginals,2021-02-06,accessories,B1,2094,5,963,46,1131,54,41,2,426,44,963 ,46,32,8,middle-aged_rate
AdidasOriginals,2021-02-07,accessories,B1,1292,6,617,48,675,52,26,2,284,46,594 ,46,18,6,senior_rate
AdidasOriginals,2021-02-08,accessories,B1,1391,6,664,48,727,52,30,2,302,45,640 ,46,19,6,
AdidasOriginals,2021-02-09,accessories,B1,1688,6,800,47,888,53,39,2,353,44,793 ,47,23,7,
AdidasOriginals,2021-02-10,accessories,B1,2113,6,1008,48,1105,52,49,2,428,42,1014 ,48,29,7,
AdidasOriginals,2021-02-11,accessories,B1,930,7,436,47,494,53,32,3,187,43,456 ,49,9,5,
AdidasOriginals,2021-02-12,accessories,B1,1733,5,829,48,904,52,28,2,338,41,849 ,49,27,8,
AdidasOriginals,2021-02-13,accessories,B1,1749,4,878,50,871,50,37,2,350,40,892 ,51,26,7,
AdidasOriginals,2021-02-14,accessories,B1,1994,4,968,49,1026,51,32,2,386,40,997 ,50,34,9,
AdidasOriginals,2021-02-15,accessories,B1,1883,4,931,49,952,51,28,1,372,40,960 ,51,30,8,
AdidasOriginals,2021-02-16,accessories,B1,1626,4,779,48,847,52,26,2,323,42,813 ,50,22,7,
AdidasOriginals,2021-02-17,accessories,B1,1645,4,794,48,851,52,29,2,324,41,806 ,49,25,8,
AdidasOriginals,2021-02-18,accessories,B1,1150,5,503,44,647,56,24,2,243,48,506 ,44,14,6,
AdidasOriginals,2021-02-19,accessories,B1,1187,6,506,43,681,57,20,2,248,49,522 ,44,13,5,
AdidasOriginals,2021-02-20,accessories,B1,1354,6,602,44,752,56,27,2,286,47,609 ,45,15,5,
AdidasOriginals,2021-02-21,accessories,B1,1956,5,779,40,1177,60,46,2,381,49,841 ,43,20,5,
AdidasOriginals,2021-02-22,accessories,B1,981,7,424,43,557,57,26,3,218,51,402 ,41,10,5,
AdidasOriginals,2021-02-23,accessories,B1,942,6,409,43,533,57,15,2,202,49,414 ,44,11,5,
AdidasOriginals,2021-02-24,accessories,B1,911,6,423,46,488,54,17,2,215,51,383 ,42,11,5,
AdidasOriginals,2021-02-25,accessories,B1,1025,6,455,44,570,56,21,2,224,49,451 ,44,10,5,
AdidasOriginals,2021-02-26,accessories,B1,1205,6,557,46,648,54,30,2,266,48,542 ,45,13,5,
AdidasOriginals,2021-02-27,accessories,B1,2129,5,908,43,1221,57,42,2,406,45,1022 ,48,21,5,
AdidasOriginals,2021-02-28,accessories,B1,1626,5,674,41,952,59,24,1,314,47,764 ,47,16,5,
BOYLONDON,2021-02-01,accessories,B1,88,1,20,23,68,77,2,3,2,9,77 ,88,0,0,
BOYLONDON,2021-02-02,accessories,B1,213,2,40,19,173,81,8,4,7,18,158 ,74,0,5,
BOYLONDON,2021-02-03,accessories,B1,140,1,28,20,112,80,4,3,2,9,119 ,85,0,4,
BOYLONDON,2021-02-04,accessories,B1,143,1,23,16,120,84,7,5,3,14,112 ,78,0,3,
BOYLONDON,2021-02-05,accessories,B1,159,1,28,18,131,82,3,2,5,18,121 ,76,0,4,
BOYLONDON,2021-02-06,accessories,B1,553,2,112,20,441,80,21,4,25,23,387 ,70,1,4,
BOYLONDON,2021-02-07,accessories,B1,365,2,77,21,288,79,15,4,17,22,256 ,70,1,4,
BOYLONDON,2021-02-08,accessories,B1,261,1,53,20,208,80,10,4,12,23,185 ,71,0,2,
