store_name,date,type,floor,enter_cnt,exit_cnt,enter_rate,watcher_cnt,female,ageless16,age17to30,age31to45,age46to60,bodyfat,bodynormal,bodythin,customer,employee,hs_baldhead,hs_hat,hs_glasses
GEMMO,2021-02-06,fashions,L2,519,385,0.033406282,2045,0.512168,0.0353982,0.425885,0.484513,0.0542035,0.0132743,0.95354,0.0331858,1,0,0,0.0232301,0.0243363
NIO,2021-02-07,kids & babies,L1,573,550,0.019579034,423,0.464826,0.162066,0.291184,0.503117,0.0436331,0.0356189,0.893143,0.0712378,1,0,0,0.0552093,0.030276
ARIOSE years,2021-02-08,accessories,L2,234,136,0.046809362,408,0.597297,0.0162162,0.551351,0.381081,0.0513513,0.0486486,0.927027,0.0243243,1,0,0,0.0648649,0.0972973
KT World,2021-02-03,fashions,B1,286,214,0.020381984,1615,0.31,0.018,0.4,0.558,0.024,0.042,0.948,0.01,1,0,0.002,0.012,0.03
HUAWEI,2021-02-10,kids & babies,B2,1032,1063,0.044908616,3116,0.489737,0.0214797,0.520764,0.415275,0.0424821,0.0782816,0.905012,0.0167064,0.999045,0.000954654,0,0.0949881,0.101671
Lynn&Milo,2021-02-17,fashions,L3,384,319,0.018986403,2490,0.627312,0.130868,0.499289,0.318634,0.0512091,0.00142248,0.981508,0.0170697,1,0,0,0.0113798,0.0056899
NIO,2021-02-17,kids & babies,L1,1584,1480,0.031674299,1351,0.497389,0.141319,0.261423,0.545692,0.0515666,0.0365535,0.91188,0.0515666,0.999674,0.000326371,0.000652742,0.0430809,0.026436
Cici Beauty,2021-02-20,fashions,B2,17,10,0.000681417,742,0.259259,0.037037,0.407407,0.555556,0,0.0740741,0.888889,0.037037,1,0,0,0.037037,0.0740741
NanluoFeiMao,2021-02-08,kids & babies,L5,614,470,0.087290304,1172,0.29428,0.112546,0.22417,0.598708,0.0645757,0.0119926,0.96679,0.0212177,1,0,0,0.0156827,0.0156827
TOMMY HILFIGER,2021-02-17,facilities,L1,260,297,0.023798627,1352,0.491921,0.0412926,0.518851,0.40395,0.0359066,0.0502693,0.901257,0.048474,0.996409,0.00359066,0.00359066,0.0718133,0.0771993
