名字,camera,类型,store_name,type,floor
SAINT ANGELO（报喜鸟）,,时尚精品,SAINT ANGELO,fashions,L1
mini peace,L3-J36,时尚精品,mini peace,fashions,L3
KT夸特世界,B1-J22-3,时尚精品,KT World,fashions,B1
聚娇美甲,B2-J55,婴幼儿童,Jujiao Nail Beauty,kids & babies,B2
CiCi纤美,B2-J55,时尚精品,Cici Beauty,fashions,B2
极米,B2-J55,婴幼儿童,JIMI,kids & babies,B2
大疆,B2-J55,数码电器,DJI,consumer electronics,B2
KKV,B2-J44,时尚精品,KKV,fashions,B2
天真蓝,,婴幼儿童,Naive Blue,kids & babies,L1
华为（华信通）,B2-J53,婴幼儿童,HUAWEI,kids & babies,B2
adidas Originals,B1-J18-07,鞋包配饰,Adidas Originals,accessories,B1
FILA FUSION,B1-J18-07,时尚精品,FILA FUSION,fashions,B1
完美日记PERFECT DIARY,B1-J16,婴幼儿童,PERFECT DIARY,kids & babies,B1
名创优品miniso,B1-J33-50,婴幼儿童,Miniso,kids & babies,B1
海马体照相馆,B1-J33-50,美食餐饮,HIMO,food,B1
木九十,,婴幼儿童,MUJOSH,kids & babies,L1
戴森,B1-J07-06A,数码电器,Dyson,consumer electronics,B1
BOYLONDON,B1-J07-06A,鞋包配饰,BOYLONDON,accessories,B1
钻石世家,L1-J35,珠宝首饰,ShiningHouse,jewelry,L1
AAPE,L1-J35,鞋包配饰,AAPE,accessories,L1
蔚来汽车,L1-J11,婴幼儿童,NIO,kids & babies,L1
Pandora,L1-J39,时尚精品,Pandora,fashions,L1
YSL,L1-J39,生活配套,YSL,facilities,L1
VJC,L1-J18-4,生活配套,VJC,facilities,L1
TOMMY HILFIGER,L1-J36-21,生活配套,TOMMY HILFIGER,facilities,L1
ZARA,L1-J10-04,生活配套,ZARA,facilities,L1
EVISUKURO,L1-J10-04,时尚精品,EVISUKURO,fashions,L1
菜百首饰,L1-J40-21,数码电器,CAIBAI Jewelry,consumer electronics,L1
broadcast播,,鞋包配饰,broadcast,accessories,L1
RE-BLUE,L2-J13,时尚精品,RE-BLUE,fashions,L2
GEMMO,L2-XZJ17,时尚精品,GEMMO,fashions,L2
ARIOSE years,L2-J10-04,鞋包配饰,ARIOSE years,accessories,L2
simonin,L2-J10-04,时尚精品,simonin,fashions,L2
果明治,,美食餐饮,Fruwich,food,L1
Lynn&Milo,L3-J16,时尚精品,Lynn&Milo,fashions,L3
酷族街舞 Cool zone,L3-J26-9.10,婴幼儿童,Cool zone,kids & babies,L3
小绿洲,,婴幼儿童,Little Oasis,kids & babies,L1
gb,L3-J38-5,时尚精品,gb,fashions,L3
玩塾,L3-J10,婴幼儿童,Vowsoo,kids & babies,L3
卡雷拉,,婴幼儿童,Carrera Slot Car,kids & babies,L1
YeeHoo,L3-J32-33,生活配套,YeeHoo,facilities,L3
AIMERKIDS,L3-J32-33,婴幼儿童,AIMERKIDS,kids & babies,L3
艾涂图儿童艺术空间,,生活配套,Abrakadoodle,facilities,L1
GOFI迪士尼集合店,L3-J37-18,时尚精品,GOFI Disney,fashions,L3
小鬼当佳,L3-J37-18,婴幼儿童,KIDSIMLE,kids & babies,L3
杨梅红国际私立美校,,美食餐厅,YMM Art Education Group,food,L1
傲胜,L4-J05-02,数码电器,OSIM,consumer electronics,L4
倍轻松,,数码电器,Breo,consumer electronics,L1
Asics,L4-J15-36,鞋包配饰,Asics,accessories,L4
星怡会,L5-J06,婴幼儿童,City Garden,kids & babies,L5
南锣肥猫,L5-J05,婴幼儿童,NanluoFeiMao,kids & babies,L5
星聚会,,婴幼儿童,CGV,kids & babies,L1
肆月河豚,L6-J34,婴幼儿童,Siyuehetun,kids & babies,L6
HairCode,B1-J36-44,时尚精品,HairCode,fashions,B1
小鲜岛,,婴幼儿童,Xiaoxiandao,kids & babies,L1
渡娘火锅,B1-01,数码电器,Duniang Hotpot,consumer electronics,B1
INMIX,B1-03,时尚精品,INMIX,fashions,B1
JINS,B1-03,时尚精品,JINS,fashions,B1
完美日记PERFECT DIARY,B1-J36-44,婴幼儿童,PERFECT DIARY,kids & babies,B1
